,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stracc,f1_strdef,f1_subavg,f1_tdacc,f1_tdavg,f1_tddef,f1_weight,f1_dob,f1_wins,f1_losses,f1_cumtime,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stracc,f2_strdef,f2_subavg,f2_tdacc,f2_tdavg,f2_tddef,f2_weight,f2_dob,f2_wins,f2_losses,f2_cumtime
0,182.88,187.96,3.36,2.34,0.0,0.47,0.43,1.8,0.8,2.37,0.5,77.18,34.0,3.0,3.0,616.0,187.96,189.9175078178011,1.49,2.2,0.0,0.54,0.53,2.1,1.0,0.31,0.3,83.99000000000001,32.0,3.0,1.0,1140.0
0,187.96,189.9175078178011,1.49,2.2,0.0,0.54,0.53,2.1,1.0,0.31,0.3,83.99000000000001,32.0,3.0,1.0,1140.0,182.88,186.350728762539,4.98,1.3,0.0,0.54,0.47,0.0,1.0,3.25,0.0,83.99000000000001,45.0,0.0,1.0,277.0
0,0.0,57.946682773104385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.37,39.0,1.0,1.0,356.0,0.0,57.946682773104385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.37,34.0,0.0,1.0,56.0
0,182.88,186.350728762539,0.32,2.36,0.0,0.57,0.85,0.0,1.0,0.68,0.8,69.916,34.0,2.0,1.0,721.0,175.26,181.0005601796459,2.4,0.3,0.0,0.25,0.5,9.0,1.0,4.5,0.0,83.99000000000001,44.0,0.0,1.0,200.0
0,165.1,172.72,3.16,2.08,0.0,0.32,0.6,0.3,0.25,0.31,0.59,56.75,28.0,2.0,3.0,1120.0,170.18,177.43378112438384,1.73,3.57,0.0,0.4,0.71,1.7,0.42,5.18,0.5,56.75,24.0,2.0,0.0,443.0
0,175.26,172.72,2.93,4.17,0.0,0.48,0.55,2.6,0.36,1.97,0.38,56.75,26.0,5.0,3.0,1891.0,170.18,177.43378112438384,1.73,3.57,0.0,0.4,0.71,1.7,0.42,5.18,0.5,56.75,24.0,2.0,0.0,443.0
0,190.5,190.5,3.77,2.27,0.0,0.43,0.53,1.1,0.22,2.03,0.33,93.07000000000001,45.0,5.0,7.0,2194.0,190.5,195.58,2.92,4.13,0.0,0.66,0.54,0.7,0.33,0.67,0.66,93.07000000000001,31.0,1.0,2.0,736.0
0,190.5,195.58,2.92,4.13,0.0,0.66,0.54,0.7,0.33,0.67,0.66,93.07000000000001,31.0,1.0,2.0,736.0,190.5,200.66,1.08,3.16,0.0,0.54,0.47,0.0,0.33,0.8,0.56,118.04,32.0,8.0,2.0,1782.0
0,190.5,195.58,2.92,4.13,0.0,0.66,0.54,0.7,0.33,0.67,0.66,93.07000000000001,31.0,1.0,2.0,736.0,187.96,187.96,4.87,3.34,1.0,0.48,0.39,0.0,0.3,1.31,0.5,93.07000000000001,35.0,1.0,2.0,543.0
0,167.64000000000001,175.6503915967528,1.13,1.46,1.0,0.41,0.61,0.7,0.53,4.76,0.33,69.916,39.0,10.0,4.0,3339.0,175.26,182.88,3.61,2.56,0.0,0.33,0.58,0.9,0.11,0.44,0.2,70.37,40.0,1.0,4.0,1373.0
0,175.26,182.88,3.61,2.56,0.0,0.33,0.58,0.9,0.11,0.44,0.2,70.37,40.0,1.0,4.0,1373.0,177.8,182.88,3.7,3.46,0.0,0.36,0.61,1.9,0.0,0.0,0.7,70.37,32.0,4.0,3.0,1615.0
0,180.34,185.42000000000002,3.63,2.26,1.0,0.41,0.53,0.0,0.38,2.0,0.78,70.37,30.0,1.0,3.0,1054.0,175.26,182.88,3.61,2.56,0.0,0.33,0.58,0.9,0.11,0.44,0.2,70.37,40.0,1.0,4.0,1373.0
0,175.26,182.88,3.61,2.56,0.0,0.33,0.58,0.9,0.11,0.44,0.2,70.37,40.0,1.0,4.0,1373.0,180.34,182.88,3.45,2.87,0.0,0.47,0.65,0.8,0.38,3.0,0.89,70.37,39.0,3.0,2.0,897.0
0,172.72,170.18,3.53,2.76,0.0,0.36,0.57,1.0,0.43,1.69,0.73,65.83,31.0,5.0,6.0,2022.0,175.26,182.88,3.61,2.56,0.0,0.33,0.58,0.9,0.11,0.44,0.2,70.37,40.0,1.0,4.0,1373.0
